OMSTenantId,outHasActiveO365,DeletedUserCnt,EnabledUsers,NumProvisionedDesktop,NumProvisionedMobile,AvgSpoDays,AvgDaysUsedPublisher,AvgDaysUsedAccess,AvgDaysUsedOneNote,AvgDaysUsedPpt,AvgDaysUsedWord,AvgDaysUsedExcel,AvgEmailDays,AvgDaysUsedSkype,AvgDaysEmailLinkedin,AvgDaysEmailTwitter,AvgDaysEmailFb,AvgDaysEmailApple,AvgDaysEmailAmazon,AvgDaysEmailPayPal,AvgDaysEmailDropBox,HasReadGmail,NumExternalEmailsRcvd,NCustomDomains,NumPaidSubscriptions,IsAtRiskGroup,TenureFirstPaid,O365SmbIsAutoRenew,O365SmbChannelType
7d56a1a6-4865-43c8-946b-d21192167dbf,1,1,1,4,0,0,0,0,0,0.333333333,1.333333333,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25.09868421,1,Direct
000572fc-2e11-4dca-8d83-b3178f456530,1,0,1,1,0,0,0,0,0,0,7,7,3,0,0,0,0,0,0,0,0,1,0,2,2,1,19.53947368,1,Syndication
7d56e35c-d166-4b86-b727-1cf8511350c9,1,0,1,4,0,0,0,0,0,14,12,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13.81578947,0,Direct
00057497-cf88-45df-8149-6b37965f0306,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.118421053,1,Direct
7d575398-0aea-4c30-8f42-55ed197505c7,1,0,1,4,0,0,0,0,0,5.75,8.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,19.11184211,0,Direct
000597dd-5e9e-4c82-8b56-0b9097d0bdc6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,39.47368421,1,Reseller
7d576d66-d1d7-4bf8-8647-095871c208ca,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,1,31.28289474,1,Syndication
0005adcf-7eb1-478c-8954-17604a59c795,1,0,1,3,0,0,1.5,0,0,0.5,10.5,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37.69736842,1,Direct
7d5782b6-d91e-40a6-89d4-f57f019384db,1,0,1,1,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.881578947,1,Direct
00060322-d942-43aa-b061-660d35969806,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,33.88157895,1,Direct
7d57925a-2a20-4aa4-83cb-3774d5519d49,1,1,1,1,0,2.5,0,0,0,2,6,3,10,0,0,0,0,1,0,0,0,0,0,1,1,0,6.019736842,1,Direct
00060700-fa6b-4064-a1d5-f20c6f92c767,1,0,1,1,0,0,0,0,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9.144736842,1,Direct
7d57e636-4298-490a-bc93-598c7feba81c,1,0,1,3,0,28,0,0,2,0,13,9.666666667,26,0,1,4,0,3,0,0,0,1,133,1,2,1,34.375,1,Reseller
0006140e-4952-4dfd-be7f-73eacad4cfc6,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28.38815789,1,Direct
7d581936-8fdb-46a9-b86f-2539ddad39cb,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11.97368421,1,Reseller
000644c7-c688-4730-9d40-2d70a8fa8f6d,1,0,1,3,0,0,0,0,0,0,8,7,27,0,0,0,0,3,0,2,0,1,100,1,1,0,2.072368421,1,Reseller
